Pillar Number,Easting,Northing
1,542334.099,718153.123
2,542358.103,718162.662
3,542352.575,718176.993
4,542392.127,718192.618
5,542398.115,718178.67
6,542393.89,718177.18
7,542408.336,718149.589
8,542462.518,718172.206
9,542482.565,718139.219
10,542541.847,718022.707
11,542541.275,718018.032
12,542516.657,718006.666
13,542498.786,717996.377
14,542464.427,717982.353
15,542475.248,717961.891
16,542426.14,717939.179
17,542405.433,717983.922
18,542429.448,717992.561
19,542416.316,718022.519
20,542415.575,718022.318
21,542394.057,718078.213
22,542395.895,718079.032
23,542390.7,718093.061
24,542388.954,718092.489
25,542378.031,718123.903
26,542352.045,718113.438
27,542344.462,718128.4
